window_start_sec,window_end_sec,window_center_sec,n_seizures,obs_median_maxAB,obs_q25,obs_q75,all_contact_null_median,all_contact_null_p2.5,all_contact_null_p97.5,all_contact_pointwise_p,all_contact_maxt_p,all_contact_cluster_sig,within_shaft_null_median,within_shaft_null_p2.5,within_shaft_null_p97.5,within_shaft_pointwise_p,within_shaft_maxt_p,within_shaft_cluster_sig
-120.0,-110.0,-115.0,3,0.7860236931234633,0.5511206861232107,0.8197535334333876,0.8036113623213713,0.5521966179451594,0.9598349988195528,0.5594405594405595,1.0,False,0.8534833737433121,0.7860236931234631,0.8894071070494031,0.8821178821178821,1.0,False
-118.0,-108.0,-113.0,3,0.9050570775031371,0.6084221316037294,0.9403595556154662,0.806776572865495,0.5302885727420911,0.9493723931860639,0.14985014985014986,0.995004995004995,False,0.89686889143879,0.8357380026906966,0.9224969794348966,0.24775224775224775,1.0,False
-116.0,-106.0,-111.0,3,0.7105217570296368,0.6183146168834953,0.7446850532160803,0.8098286212131436,0.5599349649190379,0.9561664060171159,0.7892107892107892,1.0,False,0.6468544586384452,0.5195399313090695,0.7788483494025238,0.25274725274725274,1.0,False
-114.0,-104.0,-109.0,3,0.8434619778353063,0.8007912538527042,0.8522131545500848,0.8063975935379766,0.5310918001578742,0.9432166410991486,0.34765234765234765,1.0,False,0.7683736447557844,0.6947868333578638,0.8609643312648633,0.25274725274725274,1.0,False
-112.0,-102.0,-107.0,3,0.9116559217081005,0.8041090381178464,0.9287906599663034,0.787336023682095,0.5431392709932644,0.9579213068080992,0.10589410589410589,0.954045954045954,False,0.9071400051590245,0.5806241151721456,0.9128815098711732,0.3776223776223776,1.0,False
-110.0,-100.0,-105.0,3,0.8627714150769286,0.7797413493410078,0.9050479185876787,0.8136332510006683,0.5199544333949115,0.9409962464466595,0.2837162837162837,1.0,False,0.8334731685586226,0.696711283605087,0.879091565861288,0.12787212787212787,1.0,False
-108.0,-98.0,-103.0,3,0.7800304687973042,0.7687563227554943,0.8636635634726243,0.7920614623970115,0.5375386419422505,0.9456501903027912,0.5434565434565435,1.0,False,0.8011954209240315,0.7632407203528524,0.8411064748196948,0.7562437562437563,1.0,False
-106.0,-96.0,-101.0,3,0.9117640893309871,0.881113108375285,0.9462657298894855,0.7981193870160483,0.508654807278279,0.9485482350379885,0.09090909090909091,0.98001998001998,False,0.9117640893309872,0.850462127419583,0.951274292025896,0.5044955044955045,1.0,False
-104.0,-94.0,-99.0,3,0.9501643908020312,0.9254988521272103,0.9669371449225169,0.8015086357557932,0.5223356912642697,0.9497467581873561,0.024975024975024976,0.7012987012987013,False,0.9041999574315672,0.8526524128692399,0.96358571725201,0.25574425574425574,1.0,False
-102.0,-92.0,-97.0,3,0.9100697966806179,0.8739180448703867,0.9405198750116242,0.8074693749018396,0.5291162183612395,0.9463839644478051,0.12887112887112886,0.9920079920079921,False,0.8377662930601553,0.7554895578825378,0.9709699533426305,0.24875124875124874,1.0,False
-100.0,-90.0,-95.0,3,0.9124688448382365,0.8578954474628853,0.9497197315721498,0.8124053812979124,0.5219961785488869,0.9430651320340185,0.1048951048951049,0.989010989010989,False,0.8159412605680719,0.6947598933663686,0.9124688448382363,0.000999000999000999,1.0,False
-98.0,-88.0,-93.0,3,0.7591674796666777,0.737535034451595,0.8160443576336558,0.8066688277738694,0.5212401992496444,0.9519366222022303,0.6513486513486514,1.0,False,0.8264701790997552,0.7284481834833503,0.8798423349985591,0.8121878121878122,1.0,False
-96.0,-86.0,-91.0,3,0.7518671907871577,0.559887413905715,0.8140834425705474,0.8030603726584603,0.5394174704108053,0.9724347330249151,0.6513486513486514,1.0,False,0.791697284016978,0.7518671907871578,0.8103243774238984,1.0,1.0,False
-94.0,-84.0,-89.0,3,0.7017324733555267,0.6474101219235964,0.782346678960441,0.8007489214800597,0.5202433822812729,0.9474739307316336,0.7872127872127872,1.0,False,0.6899422632180034,0.5930877704916659,0.7017324733555267,0.25574425574425574,1.0,False
-92.0,-82.0,-87.0,3,0.5868865225189916,0.5431095789141759,0.6735622500067207,0.7985130983229631,0.5394227414551168,0.9472025040843403,0.945054945054945,1.0,False,0.6748007945914918,0.5868865225189916,0.7983497132358809,1.0,1.0,False
-90.0,-80.0,-85.0,3,0.7318473175846049,0.6399055048431082,0.7872085404201321,0.8005048567675976,0.5443888659980299,0.9433567048848929,0.7022977022977023,1.0,False,0.7392373499867688,0.7318473175846048,0.8493370189907518,0.7562437562437563,1.0,False
-88.0,-78.0,-83.0,3,0.7437645796668958,0.6929291567271569,0.8631227141793034,0.8035074491700125,0.5521919506835907,0.9501023770322881,0.6943056943056943,1.0,False,0.7437645796668959,0.7107661597717986,0.9232279756694898,0.7542457542457542,1.0,False
-86.0,-76.0,-81.0,3,0.751152179503689,0.6666124751465644,0.8382500318767578,0.8099890130205787,0.5575249142620603,0.9606487019749712,0.6743256743256744,1.0,False,0.7633583831017857,0.7511521795036888,0.918618317230056,0.7452547452547452,1.0,False
-84.0,-74.0,-79.0,3,0.8847060246906592,0.7853775496196549,0.9275534950766218,0.8012150015177872,0.5448202372539672,0.9598177228479647,0.2037962037962038,1.0,False,0.8304343029821926,0.7725933353372774,0.8847060246906592,0.24475524475524477,1.0,False
-82.0,-72.0,-77.0,3,0.672827809539846,0.6345490178250572,0.8153345490761612,0.8065380012628561,0.5307501865705198,0.9495131967119786,0.8301698301698301,1.0,False,0.673881265536697,0.6728278095398462,0.8674175787444217,1.0,1.0,False
-80.0,-70.0,-75.0,3,0.8206379962850991,0.8111415303646884,0.8481967083884692,0.8078402790835493,0.5389599459120055,0.9518947436817198,0.45754245754245754,1.0,False,0.7806809538643615,0.4957995832390463,0.8206379962850991,0.24775224775224775,1.0,False
-78.0,-68.0,-73.0,3,0.8344455224272491,0.8301824497508823,0.8812705016364355,0.8031983686919293,0.5141998023337804,0.9555942890869239,0.4045954045954046,1.0,False,0.7591579194132542,0.6389665518740579,0.928095480845622,0.3676323676323676,1.0,False
-76.0,-66.0,-71.0,3,0.8544170183921747,0.7459711170424063,0.8964237192204905,0.7960211106476668,0.5199707354860461,0.9439419788876718,0.2997002997002997,1.0,False,0.7662367419145255,0.6375252156926376,0.9164085167048119,0.23976023976023977,1.0,False
-74.0,-64.0,-69.0,3,0.7548549424175138,0.6641722647898438,0.8547688356914995,0.7994405943183686,0.497825868829172,0.9479504939619117,0.6313686313686314,1.0,False,0.6571240072042682,0.6072664100097814,0.9137505888211049,0.4915084915084915,1.0,False
-72.0,-62.0,-67.0,3,0.7836834003742973,0.764838293182948,0.8150608407838453,0.8080793629937191,0.5536445574348922,0.9613587129995911,0.5624375624375625,1.0,False,0.7680884981493333,0.7192289851270071,0.9188909784609877,0.24475524475524477,1.0,False
-70.0,-60.0,-65.0,3,0.8736354261799353,0.8576110108588384,0.9044549320374042,0.802175398968225,0.5358605645258342,0.9461261680861364,0.24675324675324675,1.0,False,0.8527979481641276,0.8090799617156434,0.9254740416067054,0.24675324675324675,1.0,False
-68.0,-58.0,-63.0,3,0.8175258196841526,0.813131110655547,0.8746513408988056,0.7942579866875363,0.5171025725905409,0.9583415993781674,0.42657342657342656,1.0,False,0.8392269008678817,0.7771607926287982,0.8673298096231213,0.7722277722277723,1.0,False
-66.0,-56.0,-61.0,3,0.571512270275079,0.5538736015668554,0.7231901369575203,0.8103193322484026,0.5089191031268503,0.9483687749570238,0.9460539460539461,1.0,False,0.7483520014587844,0.5362349328586317,0.8748680036399619,0.7532467532467533,1.0,False
-64.0,-54.0,-59.0,3,0.7817485462982499,0.579543556805752,0.8080707557420397,0.8108172476354607,0.5128278700623404,0.9472542899917011,0.5894105894105894,1.0,False,0.7817485462982496,0.6825855957692354,0.8343929651858295,0.3866133866133866,1.0,False
-62.0,-52.0,-57.0,3,0.8032529096281547,0.7911285744271266,0.8658062518397363,0.7946170222601205,0.5291695238842986,0.9591899904814745,0.4825174825174825,1.0,False,0.767756962669867,0.6831038635638242,0.8056191189277443,0.12487512487512488,1.0,False
