id,topology,noise,mode,shape,n,denominator,fraction
patient_FIT,,,ALL,+++,1327,11888,0.11162516823687753
patient_FIT,,,ALL,---,691,11888,0.05812584118438762
patient_FIT,,,ALL,+--,2192,11888,0.18438761776581428
patient_FIT,,,ALL,++-,1883,11888,0.1583950201884253
patient_FIT,,,ALL,-++,724,11888,0.060901749663526246
patient_FIT,,,ALL,--+,1006,11888,0.08462314939434724
patient_FIT,,,ALL,+-+,3032,11888,0.2550471063257066
patient_FIT,,,ALL,-+-,1029,11888,0.0865578734858681
patient_FIT,,,ALL,ties,4,11888,0.00033647375504710633
patient_FIT,,,TA,+++,1027,8779,0.11698371112883016
patient_FIT,,,TA,---,467,8779,0.05319512472946805
patient_FIT,,,TA,+--,1691,8779,0.19261874928807382
patient_FIT,,,TA,++-,1245,8779,0.14181569654858184
patient_FIT,,,TA,-++,471,8779,0.05365075748946349
patient_FIT,,,TA,--+,771,8779,0.08782321448912177
patient_FIT,,,TA,+-+,2545,8779,0.28989634354710103
patient_FIT,,,TA,-+-,558,8779,0.06356077001936439
patient_FIT,,,TA,ties,4,8779,0.00045563275999544367
patient_FIT,,,TB,+++,300,3109,0.0964940495336121
patient_FIT,,,TB,---,224,3109,0.07204889031843037
patient_FIT,,,TB,+--,501,3109,0.1611450627211322
patient_FIT,,,TB,++-,638,3109,0.20521067867481504
patient_FIT,,,TB,-++,253,3109,0.08137664844001287
patient_FIT,,,TB,--+,235,3109,0.07558700546799614
patient_FIT,,,TB,+-+,487,3109,0.1566420070762303
patient_FIT,,,TB,-+-,471,3109,0.151495657767771
patient_FIT,,,TB,ties,0,3109,0.0
t2511_n847401,2511.0,847401.0,ALL,+++,13,66,0.19696969696969696
t2511_n847401,2511.0,847401.0,ALL,---,33,66,0.5
t2511_n847401,2511.0,847401.0,ALL,+--,1,66,0.015151515151515152
t2511_n847401,2511.0,847401.0,ALL,++-,17,66,0.25757575757575757
t2511_n847401,2511.0,847401.0,ALL,-++,2,66,0.030303030303030304
t2511_n847401,2511.0,847401.0,ALL,--+,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,+-+,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,-+-,0,66,0.0
t2511_n847401,2511.0,847401.0,ALL,ties,0,66,0.0
t2511_n847401,2511.0,847401.0,TA,+++,11,26,0.4230769230769231
t2511_n847401,2511.0,847401.0,TA,---,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,+--,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,++-,13,26,0.5
t2511_n847401,2511.0,847401.0,TA,-++,2,26,0.07692307692307693
t2511_n847401,2511.0,847401.0,TA,--+,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,+-+,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,-+-,0,26,0.0
t2511_n847401,2511.0,847401.0,TA,ties,0,26,0.0
t2511_n847401,2511.0,847401.0,TB,+++,2,40,0.05
t2511_n847401,2511.0,847401.0,TB,---,33,40,0.825
t2511_n847401,2511.0,847401.0,TB,+--,1,40,0.025
t2511_n847401,2511.0,847401.0,TB,++-,4,40,0.1
t2511_n847401,2511.0,847401.0,TB,-++,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,--+,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,+-+,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,-+-,0,40,0.0
t2511_n847401,2511.0,847401.0,TB,ties,0,40,0.0
t2511_n847402,2511.0,847402.0,ALL,+++,14,73,0.1917808219178082
t2511_n847402,2511.0,847402.0,ALL,---,36,73,0.4931506849315068
t2511_n847402,2511.0,847402.0,ALL,+--,4,73,0.0547945205479452
t2511_n847402,2511.0,847402.0,ALL,++-,19,73,0.2602739726027397
t2511_n847402,2511.0,847402.0,ALL,-++,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,--+,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,+-+,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,-+-,0,73,0.0
t2511_n847402,2511.0,847402.0,ALL,ties,0,73,0.0
t2511_n847402,2511.0,847402.0,TA,+++,14,27,0.5185185185185185
t2511_n847402,2511.0,847402.0,TA,---,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,+--,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,++-,13,27,0.48148148148148145
t2511_n847402,2511.0,847402.0,TA,-++,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,--+,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,+-+,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,-+-,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,ties,0,27,0.0
t2511_n847402,2511.0,847402.0,TB,+++,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,---,36,46,0.782608695652174
t2511_n847402,2511.0,847402.0,TB,+--,4,46,0.08695652173913043
t2511_n847402,2511.0,847402.0,TB,++-,6,46,0.13043478260869565
