subject,seizure_idx,window_start_sec,window_end_sec,window_center_sec,phase,best_template,A_signed_corr,A_abs_corr,A_mirror_choice,B_signed_corr,B_abs_corr,B_mirror_choice,maxAB_abs_corr,maxAB_signed_corr
epilepsiae_1146,0,-120.0,-110.0,-115.0,pre,B,-0.4514110813158307,0.4514110813158307,mirror,0.6867511591742905,0.6867511591742905,identity,0.6867511591742905,0.6867511591742905
epilepsiae_1146,0,-118.0,-108.0,-113.0,pre,B,-0.691728214254904,0.691728214254904,mirror,0.80850087362718,0.80850087362718,identity,0.80850087362718,0.80850087362718
epilepsiae_1146,0,-116.0,-106.0,-111.0,pre,B,-0.545766375794081,0.545766375794081,mirror,0.7423642808955196,0.7423642808955196,identity,0.7423642808955196,0.7423642808955196
epilepsiae_1146,0,-114.0,-104.0,-109.0,pre,B,-0.7353950897404556,0.7353950897404556,mirror,0.8145783260912826,0.8145783260912826,identity,0.8145783260912826,0.8145783260912826
epilepsiae_1146,0,-112.0,-102.0,-107.0,pre,B,-0.8715628827905861,0.8715628827905861,identity,0.8731414784771957,0.8731414784771957,identity,0.8731414784771957,0.8731414784771957
epilepsiae_1146,0,-110.0,-100.0,-105.0,pre,A,-0.8944798176486483,0.8944798176486483,identity,0.7999688506018529,0.7999688506018529,identity,0.8944798176486483,-0.8944798176486483
epilepsiae_1146,0,-108.0,-98.0,-103.0,pre,A,-0.8473092014965043,0.8473092014965043,identity,0.6890726742187051,0.6890726742187051,identity,0.8473092014965043,-0.8473092014965043
epilepsiae_1146,0,-106.0,-96.0,-101.0,pre,A,-0.7792102144710595,0.7792102144710595,identity,0.5097481114942118,0.5097481114942118,mirror,0.7792102144710595,-0.7792102144710595
epilepsiae_1146,0,-104.0,-94.0,-99.0,pre,A,-0.5847017773694897,0.5847017773694897,identity,0.2918277290018163,0.2918277290018163,mirror,0.5847017773694897,-0.5847017773694897
epilepsiae_1146,0,-102.0,-92.0,-97.0,pre,A,-0.5781115082202316,0.5781115082202316,identity,0.36602647480731915,0.36602647480731915,mirror,0.5781115082202316,-0.5781115082202316
epilepsiae_1146,0,-100.0,-90.0,-95.0,pre,A,-0.7139585026303639,0.7139585026303639,mirror,0.5350169039146507,0.5350169039146507,mirror,0.7139585026303639,-0.7139585026303639
epilepsiae_1146,0,-98.0,-88.0,-93.0,pre,A,-0.31923546113205825,0.31923546113205825,identity,0.22579918044735844,0.22579918044735844,mirror,0.31923546113205825,-0.31923546113205825
epilepsiae_1146,0,-96.0,-86.0,-91.0,pre,B,-0.15375925826095682,0.15375925826095682,identity,-0.37841078233046616,0.37841078233046616,identity,0.37841078233046616,-0.37841078233046616
epilepsiae_1146,0,-94.0,-84.0,-89.0,pre,B,-0.5159016816321048,0.5159016816321048,mirror,0.5220933581309408,0.5220933581309408,mirror,0.5220933581309408,0.5220933581309408
epilepsiae_1146,0,-92.0,-82.0,-87.0,pre,A,0.20909546777049487,0.20909546777049487,identity,0.12671198591385044,0.12671198591385044,identity,0.20909546777049487,0.20909546777049487
epilepsiae_1146,0,-90.0,-80.0,-85.0,pre,A,0.49110362178410477,0.49110362178410477,identity,-0.37867814800207134,0.37867814800207134,mirror,0.49110362178410477,0.49110362178410477
epilepsiae_1146,0,-88.0,-78.0,-83.0,pre,A,0.5726008207493717,0.5726008207493717,mirror,-0.41561796922098254,0.41561796922098254,mirror,0.5726008207493717,0.5726008207493717
epilepsiae_1146,0,-86.0,-76.0,-81.0,pre,A,0.6264144946001271,0.6264144946001271,mirror,-0.38730859621643743,0.38730859621643743,mirror,0.6264144946001271,0.6264144946001271
epilepsiae_1146,0,-84.0,-74.0,-79.0,pre,A,0.22409499996118848,0.22409499996118848,mirror,-0.13538297167683855,0.13538297167683855,identity,0.22409499996118848,0.22409499996118848
epilepsiae_1146,0,-82.0,-72.0,-77.0,pre,B,-0.4997719431980708,0.4997719431980708,mirror,0.5784923063692613,0.5784923063692613,mirror,0.5784923063692613,0.5784923063692613
epilepsiae_1146,0,-80.0,-70.0,-75.0,pre,B,-0.2082929316014982,0.2082929316014982,identity,0.28069390143612094,0.28069390143612094,mirror,0.28069390143612094,0.28069390143612094
epilepsiae_1146,0,-78.0,-68.0,-73.0,pre,B,0.14698270425368,0.14698270425368,mirror,-0.41145881958880565,0.41145881958880565,identity,0.41145881958880565,-0.41145881958880565
epilepsiae_1146,0,-76.0,-66.0,-71.0,pre,B,0.3609969407928287,0.3609969407928287,mirror,-0.558426831966335,0.558426831966335,identity,0.558426831966335,-0.558426831966335
epilepsiae_1146,0,-74.0,-64.0,-69.0,pre,B,0.49556854700276987,0.49556854700276987,mirror,-0.682886770463119,0.682886770463119,identity,0.682886770463119,-0.682886770463119
epilepsiae_1146,0,-72.0,-62.0,-67.0,pre,B,0.7649170590228306,0.7649170590228306,mirror,-0.8787926807083045,0.8787926807083045,identity,0.8787926807083045,-0.8787926807083045
epilepsiae_1146,0,-70.0,-60.0,-65.0,pre,B,0.8299072224265869,0.8299072224265869,mirror,-0.8905989121930896,0.8905989121930896,identity,0.8905989121930896,-0.8905989121930896
epilepsiae_1146,0,-68.0,-58.0,-63.0,pre,B,0.3004810878380529,0.3004810878380529,mirror,-0.4410156046466125,0.4410156046466125,mirror,0.4410156046466125,-0.4410156046466125
epilepsiae_1146,0,-66.0,-56.0,-61.0,pre,A,-0.822841020818131,0.822841020818131,identity,0.6359274271258041,0.6359274271258041,mirror,0.822841020818131,-0.822841020818131
epilepsiae_1146,0,-64.0,-54.0,-59.0,pre,A,-0.8905700281928131,0.8905700281928131,identity,0.7557605687535597,0.7557605687535597,mirror,0.8905700281928131,-0.8905700281928131
epilepsiae_1146,0,-62.0,-52.0,-57.0,pre,A,-0.8423156297216399,0.8423156297216399,mirror,0.6919002382335676,0.6919002382335676,mirror,0.8423156297216399,-0.8423156297216399
epilepsiae_1146,0,-60.0,-50.0,-55.0,pre,B,-0.5933584437686107,0.5933584437686107,mirror,0.6191873334105824,0.6191873334105824,mirror,0.6191873334105824,0.6191873334105824
epilepsiae_1146,0,-58.0,-48.0,-53.0,pre,B,-0.432088631043058,0.432088631043058,mirror,0.47445502800744405,0.47445502800744405,mirror,0.47445502800744405,0.47445502800744405
epilepsiae_1146,0,-56.0,-46.0,-51.0,pre,B,-0.11967673692252005,0.11967673692252005,identity,0.30922128210223027,0.30922128210223027,mirror,0.30922128210223027,0.30922128210223027
epilepsiae_1146,0,-54.0,-44.0,-49.0,pre,B,0.3901695245490674,0.3901695245490674,mirror,-0.6207700439818876,0.6207700439818876,identity,0.6207700439818876,-0.6207700439818876
epilepsiae_1146,0,-52.0,-42.0,-47.0,pre,B,-0.12738915074627588,0.12738915074627588,identity,-0.31108810554461336,0.31108810554461336,identity,0.31108810554461336,-0.31108810554461336
